#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       6.141403e-03       6.360340e-07       3.476040e-03       6.160679e-03       1.564173e-03       3.614160e-03
        1000       3.983807e-03       3.534347e-04       2.002133e-03       2.265209e-02       5.212460e-03       1.369438e-02
        2000       4.729147e-03       3.986826e-04       2.127513e-03       1.862923e-02       5.243879e-03       1.081513e-02
        3000       6.839780e-03       2.654651e-04       3.016102e-03       2.869552e-02       5.306404e-03       1.235991e-02
        4000       5.173919e-03       2.964400e-04       2.592851e-03       2.141260e-02       6.056585e-03       1.244628e-02
        5000       5.476600e-03       5.361759e-04       3.041601e-03       1.743535e-02       6.056910e-03       1.097975e-02
        6000       5.396078e-03       4.195968e-04       2.609621e-03       2.354833e-02       6.690331e-03       1.271506e-02
        7000       5.265156e-03       3.594357e-04       2.651979e-03       2.232708e-02       4.986274e-03       1.285434e-02
        8000       5.832789e-03       2.837008e-04       2.539235e-03       2.126290e-02       7.645343e-03       1.438989e-02
        9000       4.704955e-03       3.025186e-04       2.369950e-03       1.988743e-02       3.910999e-03       1.203693e-02
       10000       4.400716e-03       3.215811e-04       2.441603e-03       2.275697e-02       6.632883e-03       1.201848e-02
       11000       4.930958e-03       7.349266e-04       2.517546e-03       2.166988e-02       4.748425e-03       1.294362e-02
       12000       5.201365e-03       3.826711e-04       2.473655e-03       3.174048e-02       6.617169e-03       1.305402e-02
       13000       5.175413e-03       5.749160e-04       2.591320e-03       1.761570e-02       4.741326e-03       1.138982e-02
       14000       4.744896e-03       6.553067e-04       2.556982e-03       1.828588e-02       5.352511e-03       1.121799e-02
       15000       4.385168e-03       2.889352e-04       2.389439e-03       2.175750e-02       4.397498e-03       1.117234e-02
       16000       4.689013e-03       5.068107e-04       2.726271e-03       1.893661e-02       3.800010e-03       1.191329e-02
       17000       3.890229e-03       7.486666e-04       2.331315e-03       2.314687e-02       5.853264e-03       1.252702e-02
       18000       4.791810e-03       6.655313e-04       2.631094e-03       2.103801e-02       6.664652e-03       1.223759e-02
       19000       4.337286e-03       2.553526e-04       2.246367e-03       1.875933e-02       4.454227e-03       1.080209e-02
       20000       3.491143e-03       5.120120e-04       2.096013e-03       2.046370e-02       5.939592e-03       1.241296e-02
       21000       6.759385e-03       2.159833e-04       3.397640e-03       2.131650e-02       5.957415e-03       1.151002e-02
       22000       4.726561e-03       4.356293e-04       2.551711e-03       1.827219e-02       6.351850e-03       1.166834e-02
       23000       4.753439e-03       3.953516e-04       2.696238e-03       1.986576e-02       5.290632e-03       1.135791e-02
       24000       3.891923e-03       2.740563e-04       1.939534e-03       2.301653e-02       5.357594e-03       1.255530e-02
       25000       5.039302e-03       3.459164e-04       2.736476e-03       2.005011e-02       4.396671e-03       1.155297e-02
