#step enthalpy vol
0 -6848.9268178343982072 1323.8066442640651985
1000 -6850.0329306090980026 1324.0667655342865601
2000 -6850.745042664653738 1325.7957936342243102
3000 -6856.4229538483159558 1334.5280733338850041
4000 -6859.1132671363939153 1337.441131028707332
5000 -6856.7115222007023476 1335.5597985166161834
6000 -6855.9041621089691034 1332.902287874736885
7000 -6856.1664848845566667 1333.5708167047457664
8000 -6846.9517324284015558 1318.5213577527836151
9000 -6846.6748578547767465 1317.7619138959419161
10000 -6846.5205952601845638 1318.2656345600398708
11000 -6848.6197849217542171 1321.9027746244853461
12000 -6850.4260664350194929 1326.3441103755428685
13000 -6857.5892015527879266 1335.6136524750963872
14000 -6861.4936505652658525 1341.2855729680663899
15000 -6856.7942255570233101 1335.3851817701033724
16000 -6856.6253034741948795 1333.001262346765543
17000 -6855.9879291590932553 1333.4134802197238514
18000 -6850.4762265929548448 1322.9564911441202639
19000 -6844.3535089072756818 1313.4478475328696732
20000 -6847.8330190576944005 1319.2284422012291998
21000 -6848.3377830023700881 1321.4592412497372607
22000 -6847.2092378004044804 1319.6009810252360239
23000 -6847.5828428158301904 1320.9866425620459722
24000 -6854.7105275501535289 1332.5064748776187571
25000 -6856.1156117263117267 1333.450814088692141
26000 -6856.1514988901999459 1333.1371122025911973
27000 -6853.3573031761561651 1329.5888842859212673
28000 -6853.9879855730960116 1329.1535868808482519
29000 -6850.2392596984482225 1324.1075394966342174
30000 -6844.7775213612385414 1316.0737176635120704
31000 -6844.7758420652589848 1315.8106038157711737
32000 -6849.4869437664856378 1323.8558222558992838
33000 -6853.0600158803063096 1326.980701127989505
34000 -6853.9199159375666568 1328.7177779136670779
35000 -6854.5707028867700501 1331.805831110329791
36000 -6856.1347722817490649 1335.5976340119084398
37000 -6856.3971116219254327 1333.4051763811960427
38000 -6851.6169179529624671 1326.554280510069475
39000 -6848.5486313254996276 1322.1493208862468691
40000 -6850.1008121316945108 1322.898009206542838
41000 -6852.684378654570537 1327.8385590572704587
42000 -6851.3573942760185673 1324.6425093180062049
43000 -6851.2776225957941278 1325.7348024950415493
44000 -6852.1737912660892107 1325.6542812143366064
45000 -6850.7839699607757211 1323.5156220769151787
46000 -6853.7846544855619868 1329.1335611645504287
47000 -6856.7294969319536904 1333.2942269547477281
48000 -6858.4619797332661619 1340.287885989776214
49000 -6859.3445567894414125 1338.2437338559193449
50000 -6858.4579270088652265 1337.063021759909816
51000 -6854.9975320702642421 1328.9273677472617692
52000 -6855.0807574583932364 1330.5835658718046943
53000 -6852.6657949701475445 1327.7401221218162846
54000 -6853.9298101416825375 1328.4661204371113854
55000 -6847.4589839049749571 1319.6939619828606283
56000 -6846.1274243170246336 1317.8373819004309553
57000 -6846.6272491822146549 1317.3914819416415867
58000 -6848.9077467552424423 1321.7840241780554607
59000 -6846.8613920089392195 1321.2939166651983669
60000 -6854.5166334949408338 1330.4986207366937379
61000 -6858.7665019216747169 1337.3278310489768046
62000 -6857.3565562125686483 1334.58424539784437
63000 -6854.8086636570142218 1331.2225157176153516
64000 -6854.6458422096447975 1332.2366576978704416
65000 -6853.3557348460026333 1328.2826501055421886
66000 -6853.0091136974015171 1326.6916856044497308
67000 -6849.2365847897117419 1323.0987554330249623
68000 -6845.6431734566649538 1316.1559400915609785
69000 -6844.7828684998185054 1315.2544366392844495
70000 -6848.0044447437121562 1318.4840521129340232
71000 -6852.07285684717408 1325.5850660575899838
72000 -6851.3288499801883518 1325.857682854832774
73000 -6855.0032411933652838 1329.6917996032011615
74000 -6856.3284850505051509 1333.7677367286714798
75000 -6861.8484992417552348 1341.8310734709964436
76000 -6856.2508247045543612 1335.0332329160348763
77000 -6853.4595781355483268 1329.1031837759987866
78000 -6851.2152037926480261 1324.4591016424790269
79000 -6851.6693308924450321 1324.4034410851015764
80000 -6850.4014705338940985 1324.2913114501204745
81000 -6852.4222059732592243 1327.0761966118498094
82000 -6853.715656684624264 1328.8101188217874551
83000 -6857.8317538796009103 1335.5878965584900016
84000 -6859.5254522158129475 1337.8794757783991827
85000 -6860.2245423015856431 1337.0390773995297877
86000 -6851.2118096879867153 1326.2081746336566539
87000 -6852.3872127594213453 1325.1043123010690579
88000 -6850.639798605755459 1323.2178402699810249
89000 -6848.9751021517568006 1320.2908267699326643
90000 -6851.7099997103496207 1324.00998182815988
91000 -6856.6331981793236992 1333.4828405763153114
92000 -6859.491575135893072 1336.4789727492361635
93000 -6858.3814247992304445 1335.4702424019542377
94000 -6854.0222762945859358 1328.4981151136455537
95000 -6851.6466781924409588 1324.7531485103238538
96000 -6850.9181343559785091 1323.6562083438648187
97000 -6849.2284746543218716 1321.2545967739351909
98000 -6851.3912728260083895 1327.2914724253516852
99000 -6857.4013520103590054 1334.0095330271101375
100000 -6856.6032382249422881 1335.8793942560266714
