#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.96e+01    6.35e+00      9.76e-01    9.36e-01      6.20e-01    1.98e-01    2.0e-03
   2000      2.64e+00    1.06e+00      6.86e-02    7.54e-02      8.84e-02    3.47e-02    1.8e-03
   4000      1.39e+00    7.93e+00      3.97e-02    4.74e-02      4.94e-02    2.83e-01    1.6e-03
   6000      2.19e+00    7.75e+00      4.27e-02    1.04e-01      8.28e-02    2.94e-01    1.4e-03
   8000      1.24e+00    7.51e+00      4.99e-02    8.79e-02      4.89e-02    3.02e-01    1.2e-03
  10000      1.06e+00    5.91e+00      6.94e-02    4.24e-02      4.23e-02    2.53e-01    1.1e-03
  12000      9.61e-01    3.66e+00      5.91e-02    7.19e-02      4.09e-02    1.66e-01    9.6e-04
  14000      9.00e-01    3.15e+00      6.41e-02    4.75e-02      3.93e-02    1.52e-01    8.5e-04
  16000      1.03e+00    5.46e+00      6.48e-02    2.13e-02      4.84e-02    2.81e-01    7.5e-04
  18000      7.26e-01    1.37e+00      7.21e-03    9.93e-03      3.96e-02    7.50e-02    6.7e-04
  20000      7.94e-01    3.08e+00      5.51e-02    4.11e-02      4.08e-02    1.78e-01    5.9e-04
  22000      7.75e-01    2.76e-01      7.36e-03    8.01e-03      4.78e-02    1.67e-02    5.2e-04
  24000      9.01e-01    2.45e-01      5.26e-02    1.32e-02      5.39e-02    1.49e-02    4.6e-04
  26000      6.12e-01    2.05e+00      3.06e-02    3.47e-02      3.99e-02    1.42e-01    4.1e-04
  28000      5.76e-01    8.95e-01      1.53e-02    1.66e-02      4.19e-02    6.58e-02    3.6e-04
  30000      4.52e-01    6.38e-01      2.23e-02    1.38e-02      3.32e-02    4.96e-02    3.2e-04
  32000      4.07e-01    2.89e+00      1.99e-02    1.31e-02      3.17e-02    2.42e-01    2.8e-04
  34000      4.88e-01    1.49e+00      3.60e-02    3.89e-02      3.61e-02    1.30e-01    2.5e-04
  36000      3.86e-01    2.78e+00      1.98e-02    2.03e-02      3.36e-02    2.62e-01    2.2e-04
  38000      3.40e-01    5.98e-01      1.42e-03    3.35e-03      3.41e-02    5.99e-02    2.0e-04
  40000      4.13e-01    2.53e+00      3.55e-02    1.68e-02      3.32e-02    2.70e-01    1.7e-04
  42000      3.15e-01    2.64e+00      2.34e-03    9.02e-03      3.56e-02    2.99e-01    1.5e-04
  44000      2.94e-01    8.74e-02      1.95e-03    1.51e-03      3.53e-02    1.04e-02    1.4e-04
  46000      2.97e-01    2.02e+00      8.61e-03    4.17e-03      3.70e-02    2.57e-01    1.2e-04
  48000      3.09e-01    1.99e+00      1.62e-02    1.22e-02      3.82e-02    2.70e-01    1.1e-04
  50000      2.80e-01    2.02e+00      1.83e-02    2.06e-03      3.47e-02    2.91e-01    9.5e-05
  52000      2.08e-01    1.82e+00      1.03e-02    1.37e-02      2.94e-02    2.78e-01    8.4e-05
  54000      2.64e-01    1.62e+00      1.01e-02    6.65e-03      4.09e-02    2.63e-01    7.4e-05
  56000      1.85e-01    1.48e+00      4.78e-03    1.37e-02      3.12e-02    2.54e-01    6.6e-05
  58000      2.30e-01    3.33e-01      9.01e-03    1.56e-02      4.00e-02    5.65e-02    5.8e-05
  60000      1.72e-01    1.46e+00      8.72e-03    2.15e-02      3.06e-02    2.81e-01    5.1e-05
  62000      2.27e-01    1.26e+00      1.90e-02    3.33e-03      3.49e-02    2.59e-01    4.5e-05
  64000      1.74e-01    3.36e-01      1.13e-02    1.03e-02      3.25e-02    7.10e-02    4.0e-05
