#step enthalpy vol
0 -6834.4872240151489677 1228.9254351520762611
10 -6832.9273479078419768 1228.5976148793970424
20 -6824.5197224313751576 1227.7014535331632032
30 -6810.5196915522947165 1226.5425005690824491
40 -6801.8329926683691156 1225.5939300150623694
50 -6802.8885405969886051 1225.1781859243628787
60 -6800.4250195760805582 1225.3205406361473706
70 -6795.627721188074247 1226.0978786806826974
80 -6797.8449104708433879 1227.6578402604973235
90 -6803.769024836627068 1229.9290966040002786
100 -6806.6023505260582169 1232.7253218618320716
110 -6808.3355935265799417 1235.9043238018077773
120 -6807.4690902558004382 1239.4090764938021039
130 -6805.6723187289862835 1243.288971798544253
140 -6807.5275035016784386 1247.5920931317464238
150 -6808.4936218168513733 1252.2641390473663705
160 -6809.9537785286693179 1257.2236015095609218
170 -6813.8002525665679059 1262.3944928572864228
180 -6815.4173901252943324 1267.665422429387263
190 -6818.4408154643706439 1272.9487340097218748
200 -6817.3641671405712259 1278.1667087184453067
210 -6817.1526254571781465 1283.3006711557636663
220 -6816.1162419806241815 1288.32546349266795
230 -6811.5491437150212732 1293.270867620105264
240 -6809.4192173115443438 1298.2842547634079438
250 -6812.4645069947000593 1303.4287051301810152
260 -6816.687326196891263 1308.595155922999993
270 -6820.8368729438107039 1313.5792165204682078
280 -6823.2847099178297867 1318.2003836858912109
290 -6822.6487134188319033 1322.3604382088667535
300 -6818.5702171403445391 1326.061149128282068
310 -6816.8917173737363555 1329.4509531161336326
320 -6815.9999753766505819 1332.6297318345639269
330 -6820.8033640064795691 1335.5338106704082293
340 -6824.6313100319903242 1337.9977162109646542
350 -6823.2425308931306063 1339.9249500376015476
360 -6818.0805576600632776 1341.3771451319582866
370 -6816.4946066505508497 1342.5036837782620296
380 -6815.9079779821931879 1343.3965666269864414
390 -6813.5226258694210628 1344.1149998605571909
400 -6813.2117413519299589 1344.6968716325150126
410 -6811.4201529120737177 1345.1591980118032552
420 -6810.5664160692458609 1345.530968828810046
430 -6811.5738433071055624 1345.8121234145639846
440 -6816.0484039596822186 1345.9149667489944022
450 -6821.0314221694898151 1345.6834215964838677
460 -6824.1504776939545991 1344.9247306263473547
470 -6821.4385313742541257 1343.5587097733521205
480 -6814.5016895746139198 1341.6789955953402114
490 -6810.2724117918942284 1339.5005270194055811
500 -6804.6873069474822842 1337.2280493651599045
510 -6797.466175918362751 1335.0996028498097985
520 -6793.5529492324831153 1333.3941093652956624
530 -6789.9152270683616734 1332.2516449744473448
540 -6786.6958973099235664 1331.7726505545394957
550 -6784.776867197597312 1332.0989345424166004
560 -6791.5390274709179721 1333.2689627872307483
570 -6800.1586303399080862 1335.0318713339718215
580 -6806.9703856344076485 1337.0274900912590965
590 -6810.8245579369086045 1338.9866522975669341
600 -6813.9625287989683784 1340.7246503266630953
610 -6813.6115483711637353 1342.1668228501766862
620 -6812.653976008526115 1343.367355715098256
630 -6809.4746381795575871 1344.3723627932497493
640 -6812.6263649617021656 1345.2623143619796338
650 -6814.9305256462412217 1345.9631717874258356
660 -6814.3543733663927924 1346.3740420014705705
670 -6814.7672694034108645 1346.4844321789107653
680 -6812.5077750149284839 1346.2937320972605448
690 -6813.4981482211196635 1345.8679755197103987
700 -6815.8671583940522396 1345.2144214095674215
710 -6815.2275254825635784 1344.2746441336703356
720 -6816.7266990723865092 1343.0698921472899201
730 -6819.4441028373576046 1341.5619185776922677
740 -6822.1365941714047949 1339.6762890009922558
750 -6822.9682298287671074 1337.3132974720517723
760 -6819.7203735017628787 1334.4499772580077206
770 -6815.5639157756886561 1331.2572286104077648
780 -6813.7467408852862718 1327.855919698135267
790 -6811.5971612652001568 1324.2942351621009038
800 -6811.9196271617493039 1320.6743285966654184
810 -6814.4143880283509134 1316.994734986165895
820 -6808.772765609547605 1313.2451867447714449
830 -6803.4831189259975872 1309.6154597241113606
840 -6803.1004144575936152 1306.2864703685163477
850 -6805.206673110862539 1303.2787050604313208
860 -6803.0574006123797517 1300.5269372723610104
870 -6799.7957935547747184 1298.0984488921167213
880 -6805.4435603121901295 1296.0955237058467446
890 -6811.1422151551068964 1294.3402472335233142
900 -6810.3461506467783693 1292.6004213506271299
910 -6810.8448026018450037 1290.8415750615633897
920 -6808.903698333567263 1289.0850258684542951
930 -6807.0914398540971888 1287.3659509186907144
940 -6803.574774778399842 1285.7607743041157846
950 -6801.636858627055517 1284.4065077194723017
960 -6801.5368107467420487 1283.3933433678660094
970 -6803.2587290719011435 1282.714294645386417
980 -6804.3341546576384644 1282.3101570804421954
990 -6807.6209685848416484 1282.1251554166997266
1000 -6806.3184603262334349 1282.0713878786950772
