#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.385094e-02       2.772203e-03       1.120084e-02       1.237834e-01       2.274905e-02       5.609780e-02
        1000       1.257294e-02       3.995641e-03       7.411309e-03       1.162088e-01       2.123925e-02       4.515325e-02
        2000       1.292567e-02       1.318842e-03       5.813013e-03       9.341461e-02       1.905573e-02       4.482470e-02
        3000       8.978680e-03       1.783083e-03       5.059634e-03       6.325836e-02       1.970647e-02       3.612957e-02
        4000       9.978074e-03       2.618732e-03       6.217685e-03       6.468672e-02       1.424795e-02       3.506141e-02
        5000       1.272288e-02       1.589541e-03       6.142379e-03       9.415466e-02       2.155935e-02       4.374125e-02
        6000       9.374643e-03       1.712349e-03       4.509079e-03       8.472202e-02       1.905808e-02       3.612310e-02
        7000       1.707586e-02       1.828849e-03       8.609598e-03       6.453813e-02       1.599724e-02       3.459914e-02
        8000       7.458573e-03       1.209347e-03       4.516309e-03       1.152662e-01       1.242423e-02       3.769449e-02
        9000       1.360662e-02       1.577796e-03       6.668092e-03       7.328955e-02       1.248921e-02       3.570419e-02
       10000       1.063711e-02       2.593787e-03       5.464657e-03       8.981610e-02       1.783677e-02       3.810438e-02
       11000       1.023119e-02       1.519222e-03       5.545739e-03       9.785523e-02       1.933400e-02       4.579491e-02
       12000       1.448124e-02       2.209494e-03       7.630560e-03       1.148167e-01       1.281559e-02       4.819255e-02
       13000       1.119248e-02       1.424704e-03       4.800898e-03       7.149540e-02       2.146035e-02       3.970366e-02
       14000       6.555258e-03       1.449324e-03       4.040657e-03       9.065664e-02       2.038429e-02       3.948964e-02
       15000       1.490017e-02       1.670844e-03       8.187364e-03       1.161622e-01       2.225563e-02       4.586905e-02
       16000       7.500043e-03       3.093965e-03       5.283772e-03       9.145121e-02       1.951104e-02       3.996606e-02
       17000       7.478888e-03       1.791412e-03       4.352275e-03       8.700603e-02       1.964564e-02       3.926169e-02
       18000       5.342294e-03       2.100563e-03       3.810660e-03       7.077419e-02       1.880465e-02       3.748619e-02
       19000       5.259084e-03       1.678378e-03       3.849340e-03       7.842485e-02       2.261384e-02       3.865909e-02
       20000       8.587806e-03       1.647971e-03       4.738422e-03       7.941640e-02       1.876476e-02       4.119924e-02
       21000       6.936531e-03       1.324105e-03       3.719136e-03       8.098505e-02       1.931586e-02       3.886079e-02
       22000       9.550888e-03       4.024226e-04       4.398500e-03       9.467813e-02       1.849052e-02       4.415549e-02
       23000       1.004670e-02       2.577776e-03       6.129541e-03       9.075081e-02       1.354572e-02       3.852204e-02
       24000       1.099534e-02       2.170650e-03       5.100476e-03       7.826789e-02       1.302216e-02       3.724495e-02
       25000       1.230297e-02       8.415731e-04       6.587406e-03       8.106875e-02       1.947069e-02       4.000330e-02
       26000       1.021895e-02       1.661128e-03       5.194985e-03       8.624564e-02       1.432140e-02       4.391710e-02
