#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       6.519499e-03       2.768682e-03       4.024380e-03       9.787552e-02       1.022174e-02       3.989690e-02
        1000       1.253271e-02       8.585269e-04       6.623023e-03       9.364377e-02       1.752120e-02       3.935665e-02
        2000       6.449404e-03       1.934429e-03       3.631796e-03       1.020637e-01       1.647848e-02       4.291741e-02
        3000       1.510583e-02       6.788951e-04       7.223794e-03       6.832875e-02       1.531093e-02       3.367093e-02
        4000       9.431946e-03       1.758371e-03       5.448309e-03       1.075437e-01       1.906680e-02       4.146237e-02
        5000       1.505982e-02       3.170475e-03       7.874584e-03       9.319439e-02       1.897101e-02       4.015839e-02
        6000       6.756264e-03       1.726231e-03       3.921489e-03       7.698389e-02       1.949056e-02       3.967697e-02
        7000       8.175182e-03       1.627936e-03       4.888770e-03       8.886251e-02       1.562465e-02       4.278732e-02
        8000       1.430073e-02       2.320147e-03       8.345658e-03       1.001563e-01       1.422314e-02       4.255776e-02
        9000       8.672846e-03       2.776829e-03       5.345804e-03       1.468588e-01       2.082163e-02       4.776411e-02
       10000       1.089268e-02       2.320493e-03       6.698774e-03       7.438991e-02       1.286403e-02       3.822508e-02
       11000       1.348785e-02       2.959842e-03       7.688414e-03       6.482313e-02       1.348143e-02       3.679296e-02
       12000       8.710461e-03       1.706203e-03       4.908621e-03       1.444830e-01       1.983465e-02       5.188368e-02
       13000       1.741112e-02       3.090072e-03       9.047354e-03       1.457975e-01       1.617971e-02       4.264515e-02
       14000       1.161108e-02       2.699145e-03       6.221174e-03       1.000077e-01       1.983446e-02       4.136359e-02
       15000       7.891660e-03       3.385611e-03       5.082332e-03       1.059924e-01       1.929703e-02       4.491167e-02
       16000       1.000325e-02       2.971559e-03       5.414364e-03       1.250885e-01       1.359941e-02       4.107274e-02
       17000       1.743167e-02       2.063960e-03       8.770864e-03       1.079941e-01       1.521013e-02       4.402174e-02
       18000       1.213959e-02       1.439348e-03       5.717939e-03       7.739208e-02       1.601839e-02       4.102241e-02
       19000       1.062045e-02       7.068935e-04       5.319017e-03       8.661461e-02       9.237060e-03       4.274414e-02
       20000       7.666612e-03       1.528588e-03       3.991353e-03       7.746609e-02       1.822970e-02       3.866153e-02
       21000       9.686154e-03       1.514607e-03       4.485862e-03       7.196656e-02       1.826325e-02       3.952156e-02
       22000       9.910336e-03       2.172396e-03       4.602997e-03       6.964620e-02       1.544778e-02       3.674387e-02
       23000       1.855945e-02       1.861646e-03       1.043261e-02       1.310571e-01       2.309464e-02       4.525740e-02
       24000       8.211159e-03       2.524711e-03       4.984912e-03       9.435572e-02       2.653825e-02       4.826018e-02
       25000       1.043866e-02       1.682811e-03       5.650588e-03       8.080604e-02       2.162260e-02       4.203815e-02
       26000       9.451554e-03       4.727745e-04       5.039310e-03       6.685064e-02       1.606749e-02       3.392438e-02
       27000       9.898019e-03       2.540560e-03       5.796525e-03       8.368619e-02       1.920627e-02       3.876275e-02
       28000       7.675743e-03       2.486345e-03       4.579348e-03       6.690871e-02       1.414375e-02       3.460162e-02
       29000       1.390940e-02       2.585710e-03       6.739665e-03       8.508405e-02       1.177122e-02       3.567177e-02
       30000       6.967836e-03       1.890805e-03       3.899543e-03       5.415879e-02       1.517933e-02       3.404423e-02
       31000       1.254803e-02       1.758392e-03       7.753264e-03       7.703486e-02       2.037636e-02       4.327856e-02
       32000       3.326407e-03       6.417046e-04       2.645174e-03       7.878515e-02       1.588963e-02       3.636136e-02
       33000       7.167544e-03       1.694950e-03       3.751814e-03       6.815887e-02       1.823944e-02       3.787933e-02
       34000       1.494388e-02       1.943075e-03       7.853661e-03       7.156895e-02       2.053358e-02       3.642232e-02
       35000       1.094254e-02       1.717943e-03       6.167263e-03       7.226474e-02       1.930491e-02       4.166181e-02
       36000       1.051756e-02       3.863507e-03       5.916558e-03       1.164571e-01       1.298029e-02       4.549299e-02
       37000       6.457872e-03       1.207111e-03       3.830116e-03       8.680444e-02       1.772119e-02       3.561276e-02
       38000       1.313635e-02       2.970202e-03       6.323370e-03       9.048186e-02       1.476463e-02       4.089553e-02
       39000       1.275370e-02       9.965752e-04       6.968309e-03       8.510931e-02       1.680251e-02       3.890100e-02
       40000       7.402152e-03       1.973519e-03       3.810195e-03       7.174960e-02       1.865101e-02       3.709747e-02
       41000       1.171617e-02       1.872967e-03       5.561107e-03       1.032974e-01       1.350087e-02       4.112611e-02
       42000       7.773660e-03       1.872496e-03       4.673736e-03       6.548033e-02       9.591881e-03       3.455087e-02
       43000       1.005036e-02       1.409012e-03       5.321493e-03       1.433318e-01       1.669114e-02       4.183582e-02
       44000       1.010557e-02       1.872090e-03       5.520580e-03       9.204025e-02       1.745964e-02       4.495371e-02
       45000       9.201596e-03       1.147144e-03       3.871288e-03       8.822398e-02       1.463346e-02       3.775755e-02
       46000       1.249817e-02       2.422845e-03       7.237591e-03       6.255606e-02       1.986387e-02       3.960526e-02
       47000       1.026878e-02       6.811236e-04       5.152462e-03       8.250080e-02       1.672092e-02       4.014415e-02
       48000       2.337707e-02       1.263425e-03       1.319109e-02       1.238631e-01       2.002020e-02       4.721580e-02
       49000       4.984467e-03       8.027488e-04       3.152153e-03       8.303920e-02       1.349820e-02       3.507194e-02
       50000       7.050775e-03       1.329182e-03       4.026795e-03       9.322755e-02       1.815923e-02       4.124830e-02
       51000       4.603104e-03       1.368781e-03       3.351324e-03       7.185836e-02       1.213159e-02       3.327175e-02
       52000       6.046679e-03       2.515445e-03       4.188269e-03       1.275091e-01       1.849470e-02       4.163783e-02
       53000       1.233077e-02       1.294701e-03       5.365204e-03       1.019129e-01       1.865105e-02       3.985570e-02
       54000       1.006752e-02       2.774499e-03       5.153073e-03       7.478564e-02       1.669097e-02       4.175554e-02
       55000       1.918788e-02       1.862118e-03       9.684766e-03       8.689138e-02       1.958203e-02       3.974250e-02
       56000       8.310815e-03       2.038605e-03       5.211420e-03       7.099083e-02       1.227823e-02       3.572301e-02
       57000       8.965090e-03       1.407331e-03       5.298494e-03       7.286116e-02       1.909293e-02       4.050931e-02
       58000       5.720247e-03       1.778995e-03       3.589321e-03       1.127792e-01       1.523568e-02       4.235162e-02
       59000       6.175463e-03       1.672729e-03       4.037247e-03       9.643966e-02       1.647741e-02       3.962720e-02
       60000       1.010077e-02       5.166057e-04       5.583827e-03       8.780874e-02       1.449557e-02       3.738802e-02
       61000       1.195568e-02       1.340735e-03       6.886475e-03       8.893851e-02       2.221072e-02       4.083202e-02
       62000       7.377368e-03       1.272362e-03       4.099774e-03       1.001622e-01       2.070624e-02       4.185908e-02
       63000       1.265488e-02       3.862745e-04       7.286457e-03       8.172934e-02       1.944329e-02       4.157645e-02
       64000       1.019364e-02       1.680963e-03       6.015658e-03       1.476404e-01       1.707612e-02       4.149804e-02
       65000       5.964589e-03       1.525708e-03       3.218437e-03       6.581613e-02       1.555255e-02       3.593866e-02
       66000       1.213891e-02       2.229972e-03       6.351684e-03       8.180676e-02       1.880211e-02       4.130784e-02
       67000       1.137753e-02       1.584498e-03       6.058206e-03       6.557303e-02       1.578627e-02       3.700940e-02
       68000       1.089219e-02       6.270479e-04       5.221538e-03       6.573310e-02       1.958549e-02       4.162348e-02
       69000       1.053226e-02       1.748057e-03       6.723523e-03       8.768640e-02       1.529317e-02       4.117906e-02
       70000       9.420153e-03       5.647909e-04       4.653198e-03       7.787331e-02       1.693331e-02       3.849158e-02
       71000       6.929315e-03       1.726230e-03       4.480430e-03       9.332138e-02       1.718539e-02       4.186394e-02
       72000       8.446799e-03       1.409970e-03       4.437121e-03       1.146130e-01       2.161233e-02       4.803148e-02
       73000       6.390390e-03       1.576714e-03       3.454651e-03       8.056304e-02       1.436770e-02       3.510517e-02
       74000       1.593609e-02       1.770409e-03       6.557069e-03       8.711580e-02       2.137265e-02       4.237573e-02
       75000       1.145468e-02       2.791552e-03       6.717242e-03       9.816686e-02       1.847525e-02       4.323898e-02
       76000       1.211108e-02       8.776134e-04       6.845707e-03       6.421629e-02       1.426753e-02       3.416975e-02
       77000       7.972383e-03       2.001681e-03       4.358899e-03       1.094564e-01       1.104202e-02       3.903691e-02
       78000       1.343316e-02       1.487558e-03       6.709486e-03       7.579946e-02       1.210485e-02       4.003435e-02
       79000       9.501053e-03       2.410924e-03       5.662792e-03       1.547709e-01       2.316524e-02       4.871185e-02
       80000       1.053636e-02       2.140592e-03       4.747435e-03       8.087337e-02       1.636438e-02       4.018031e-02
       81000       6.258230e-03       1.075929e-03       3.950991e-03       9.218890e-02       1.615050e-02       4.413853e-02
       82000       1.835665e-02       1.470487e-03       8.315446e-03       8.622600e-02       1.641978e-02       4.611647e-02
       83000       9.340732e-03       1.924081e-03       5.375297e-03       8.275460e-02       1.610180e-02       4.064881e-02
       84000       1.668334e-02       2.094918e-03       8.398748e-03       1.412321e-01       2.180014e-02       4.876709e-02
       85000       1.247234e-02       8.695247e-04       6.262821e-03       7.151531e-02       1.645218e-02       3.692942e-02
       86000       6.345924e-03       1.426643e-03       3.888360e-03       9.096699e-02       1.963473e-02       4.069864e-02
       87000       1.312969e-02       1.189581e-03       6.481685e-03       6.807981e-02       1.730941e-02       3.427917e-02
       88000       1.055965e-02       2.647648e-03       5.536850e-03       1.497014e-01       1.946249e-02       4.442875e-02
       89000       1.278127e-02       1.556233e-03       6.575306e-03       7.973973e-02       1.718909e-02       3.983216e-02
       90000       1.009893e-02       1.466210e-03       6.013079e-03       7.752840e-02       1.993643e-02       4.015494e-02
       91000       8.214791e-03       1.150100e-03       4.648120e-03       7.021487e-02       1.926945e-02       3.669635e-02
       92000       1.568785e-02       1.533142e-03       8.402990e-03       5.825289e-02       1.635178e-02       3.688059e-02
       93000       1.189568e-02       1.236422e-03       6.141397e-03       8.262422e-02       2.010031e-02       4.047120e-02
       94000       1.409443e-02       1.601128e-03       6.701941e-03       9.083853e-02       1.961182e-02       3.583144e-02
       95000       1.111846e-02       8.348617e-04       6.001592e-03       1.083644e-01       1.373365e-02       4.110988e-02
       96000       1.235753e-02       1.396043e-03       6.911415e-03       7.800362e-02       2.136101e-02       3.969695e-02
       97000       1.355745e-02       1.175059e-03       7.354484e-03       8.748394e-02       1.670569e-02       3.951187e-02
       98000       1.537009e-02       8.507315e-04       6.791359e-03       1.003427e-01       2.328763e-02       4.066159e-02
       99000       1.024580e-02       1.912319e-03       4.647972e-03       7.072216e-02       2.152255e-02       4.002350e-02
      100000       4.201331e-02       4.244668e-03       2.259258e-02       1.646043e-01       2.131364e-02       7.267382e-02
