#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.78e+01    3.72e+01      1.97e+00    5.59e-01      5.59e-01    1.18e+00    2.0e-03
   2000      6.43e+00    9.84e+00      4.26e-01    9.66e-02      2.12e-01    3.30e-01    1.8e-03
   4000      3.37e+00    1.04e+01      4.74e-01    1.83e-01      1.01e-01    3.70e-01    1.6e-03
   6000      3.46e+00    8.16e+00      4.26e-01    1.21e-02      1.09e-01    3.10e-01    1.4e-03
   8000      2.92e+00    8.34e+00      2.27e-01    1.13e-01      1.08e-01    3.36e-01    1.2e-03
  10000      2.82e+00    8.22e+00      2.67e-01    2.81e-02      1.04e-01    3.52e-01    1.1e-03
  12000      2.28e+00    7.42e+00      1.91e-01    1.92e-01      9.07e-02    3.34e-01    9.6e-04
  14000      2.11e+00    5.67e+00      2.66e-01    1.30e-02      6.51e-02    2.75e-01    8.5e-04
  16000      2.00e+00    6.60e+00      2.34e-01    1.15e-02      6.91e-02    3.40e-01    7.5e-04
  18000      1.15e+00    5.70e+00      9.92e-02    9.42e-02      5.20e-02    3.10e-01    6.7e-04
  20000      1.42e+00    5.37e+00      1.62e-01    2.79e-02      5.26e-02    3.12e-01    5.9e-04
  22000      1.22e+00    7.71e-01      1.27e-01    1.07e-01      5.29e-02    1.43e-02    5.2e-04
  24000      1.53e+00    4.34e+00      1.81e-01    4.82e-03      5.59e-02    2.85e-01    4.6e-04
  26000      1.63e+00    1.86e+00      1.94e-01    1.98e-01      6.02e-02    8.42e-02    4.1e-04
  28000      9.65e-01    4.08e+00      9.26e-02    1.31e-02      5.14e-02    3.02e-01    3.6e-04
  30000      1.28e+00    3.76e+00      1.53e-01    1.91e-02      4.84e-02    2.96e-01    3.2e-04
  32000      1.45e+00    3.96e+00      1.68e-01    4.56e-02      6.21e-02    3.30e-01    2.8e-04
  34000      8.81e-01    2.55e+00      8.98e-02    1.50e-01      5.07e-02    2.04e-01    2.5e-04
  36000      1.31e+00    3.75e+00      1.56e-01    4.41e-02      5.47e-02    3.53e-01    2.2e-04
  38000      8.25e-01    1.15e+00      8.38e-02    7.92e-02      5.26e-02    9.80e-02    2.0e-04
  40000      5.91e-01    4.13e-01      5.80e-02    4.86e-02      4.17e-02    1.92e-02    1.7e-04
  42000      6.89e-01    2.80e+00      6.84e-02    3.42e-02      5.04e-02    3.15e-01    1.5e-04
  44000      6.90e-01    2.69e+00      6.55e-02    7.07e-04      5.65e-02    3.23e-01    1.4e-04
  46000      5.80e-01    2.13e+00      4.88e-02    3.68e-02      5.60e-02    2.70e-01    1.2e-04
  48000      7.34e-01    2.10e+00      8.14e-02    2.33e-02      5.02e-02    2.84e-01    1.1e-04
  50000      6.10e-01    2.21e+00      5.69e-02    4.64e-03      6.02e-02    3.19e-01    9.5e-05
  52000      4.71e-01    1.96e+00      4.73e-02    3.46e-02      4.44e-02    2.96e-01    8.4e-05
  54000      4.53e-01    1.74e+00      4.01e-02    2.31e-02      5.27e-02    2.80e-01    7.4e-05
  56000      4.23e-01    1.68e+00      3.66e-02    5.00e-03      5.33e-02    2.89e-01    6.6e-05
  58000      2.99e-01    1.59e+00      1.68e-02    1.89e-02      4.90e-02    2.89e-01    5.8e-05
  60000      4.09e-01    1.58e+00      3.35e-02    7.97e-03      6.04e-02    3.06e-01    5.1e-05
