#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.76e+01    4.57e+01      1.13e+00    2.09e-01      5.55e-01    1.44e+00    2.0e-03
   2000      3.49e+00    9.10e+00      3.98e-01    4.78e-02      1.11e-01    3.06e-01    1.8e-03
   4000      2.79e+00    9.05e+00      2.05e-01    2.33e-03      9.57e-02    3.23e-01    1.6e-03
   6000      2.71e+00    9.01e+00      3.42e-01    3.08e-03      8.46e-02    3.42e-01    1.4e-03
   8000      1.95e+00    1.50e+00      2.75e-01    2.75e-01      5.54e-02    2.33e-02    1.2e-03
  10000      1.87e+00    6.84e+00      1.79e-01    1.24e-02      6.82e-02    2.93e-01    1.1e-03
  12000      1.24e+00    7.42e+00      8.05e-02    8.03e-02      5.25e-02    3.38e-01    9.6e-04
  14000      1.15e+00    7.63e-01      9.72e-02    1.13e-01      4.76e-02    1.54e-02    8.5e-04
  16000      1.55e+00    5.86e+00      1.94e-01    4.73e-02      4.80e-02    3.01e-01    7.5e-04
  18000      1.45e+00    6.97e+00      1.78e-01    4.63e-02      4.65e-02    3.81e-01    6.7e-04
  20000      1.48e+00    1.29e+00      1.88e-01    1.86e-01      4.38e-02    1.71e-02    5.9e-04
  22000      1.66e+00    5.37e+00      1.91e-01    1.23e-03      6.18e-02    3.32e-01    5.2e-04
  24000      1.09e+00    3.88e+00      1.15e-01    5.13e-02      4.83e-02    2.54e-01    4.6e-04
  26000      9.69e-01    4.43e+00      9.13e-02    6.46e-02      5.00e-02    3.07e-01    4.1e-04
  28000      7.82e-01    4.09e+00      5.86e-02    2.95e-02      4.87e-02    3.03e-01    3.6e-04
  30000      8.52e-01    1.32e+00      8.46e-02    8.53e-02      4.59e-02    9.16e-02    3.2e-04
  32000      9.83e-01    3.09e+00      1.16e-01    1.49e-02      4.00e-02    2.58e-01    2.8e-04
  34000      1.17e+00    1.41e+00      1.36e-01    1.40e-01      5.04e-02    8.31e-02    2.5e-04
  36000      7.16e-01    4.23e-01      5.41e-02    5.29e-02      5.55e-02    1.30e-02    2.2e-04
  38000      6.64e-01    2.56e+00      6.59e-02    1.28e-02      4.37e-02    2.57e-01    2.0e-04
  40000      6.30e-01    2.66e+00      5.74e-02    1.54e-02      4.81e-02    2.84e-01    1.7e-04
  42000      5.33e-01    1.60e+00      3.15e-02    4.15e-02      5.38e-02    1.77e-01    1.5e-04
  44000      5.37e-01    2.18e+00      4.82e-02    1.33e-02      4.65e-02    2.62e-01    1.4e-04
  46000      6.83e-01    2.02e+00      7.52e-02    1.89e-02      4.54e-02    2.57e-01    1.2e-04
  48000      6.44e-01    2.31e+00      7.26e-02    1.07e-02      4.19e-02    3.13e-01    1.1e-04
  50000      4.50e-01    1.87e+00      3.96e-02    2.82e-02      4.70e-02    2.67e-01    9.5e-05
  52000      4.56e-01    2.02e+00      4.48e-02    8.61e-03      4.45e-02    3.09e-01    8.4e-05
  54000      3.16e-01    1.12e+00      7.63e-03    1.69e-02      5.04e-02    1.80e-01    7.4e-05
  56000      3.79e-01    5.26e-01      2.15e-02    2.70e-02      5.84e-02    8.29e-02    6.6e-05
  58000      3.19e-01    1.74e+00      2.36e-02    2.71e-02      4.74e-02    3.16e-01    5.8e-05
  60000      2.99e-01    1.60e+00      1.68e-02    3.46e-02      5.18e-02    3.05e-01    5.1e-05
  62000      3.21e-01    1.18e+00      1.85e-02    1.25e-03      5.87e-02    2.43e-01    4.5e-05
  64000      3.68e-01    1.25e+00      3.79e-02    5.49e-03      4.63e-02    2.71e-01    4.0e-05
  66000      2.61e-01    1.25e+00      2.27e-02    3.30e-03      4.36e-02    2.89e-01    3.6e-05
  68000      2.39e-01    1.25e+00      1.59e-02    2.36e-02      4.95e-02    3.02e-01    3.2e-05
  70000      2.51e-01    1.18e+00      2.04e-02    4.26e-02      4.94e-02    2.94e-01    2.8e-05
  72000      1.54e-01    8.62e-01      3.84e-04    6.58e-02      4.22e-02    1.87e-01    2.5e-05
  74000      2.07e-01    1.14e+00      1.35e-02    3.85e-02      5.11e-02    3.18e-01    2.2e-05
  76000      1.77e-01    6.33e-01      6.09e-03    1.77e-04      5.20e-02    1.94e-01    1.9e-05
  78000      2.13e-01    9.97e-01      1.38e-02    6.64e-02      5.90e-02    2.73e-01    1.7e-05
  80000      1.37e-01    8.25e-01      4.92e-03    8.94e-03      4.49e-02    2.81e-01    1.5e-05
  82000      1.72e-01    5.92e-01      1.05e-04    1.19e-03      6.21e-02    2.13e-01    1.3e-05
  84000      2.09e-01    6.89e-01      2.05e-02    1.72e-02      4.93e-02    2.56e-01    1.2e-05
  86000      1.16e-01    7.16e-01      1.85e-03    7.21e-03      4.60e-02    2.85e-01    1.1e-05
  88000      1.27e-01    6.67e-01      7.05e-03    6.69e-03      4.80e-02    2.80e-01    9.3e-06
  90000      1.18e-01    4.13e-01      2.61e-03    1.80e-03      5.12e-02    1.82e-01    8.2e-06
  92000      1.26e-01    4.32e-01      1.12e-02    2.57e-02      4.14e-02    1.77e-01    7.3e-06
  94000      1.32e-01    5.81e-01      1.09e-02    7.70e-03      4.81e-02    2.81e-01    6.4e-06
  96000      1.01e-01    6.11e-01      4.42e-04    4.78e-03      5.12e-02    3.11e-01    5.7e-06
  98000      1.19e-01    3.88e-01      9.40e-03    2.58e-02      4.92e-02    1.75e-01    5.1e-06
 100000      1.09e-01    4.97e-01      5.78e-04    8.43e-04      6.07e-02    2.76e-01    4.5e-06
 102000      9.17e-02    5.48e-01      2.56e-05    2.28e-02      5.31e-02    2.99e-01    4.0e-06
 104000      9.95e-02    5.23e-01      4.16e-03    3.48e-02      5.66e-02    2.67e-01    3.5e-06
 106000      7.21e-02    1.41e-01      6.27e-04    1.37e-03      4.50e-02    8.82e-02    3.1e-06
 108000      8.89e-02    5.17e-01      1.59e-03    2.22e-02      5.72e-02    3.15e-01    2.7e-06
 110000      6.80e-02    4.41e-01      1.83e-03    2.35e-02      4.46e-02    2.68e-01    2.4e-06
 112000      8.14e-02    4.49e-01      2.56e-04    1.07e-02      5.65e-02    3.06e-01    2.2e-06
 114000      7.05e-02    4.46e-01      1.65e-03    3.56e-03      4.96e-02    3.19e-01    1.9e-06
 116000      6.85e-02    3.74e-01      1.04e-03    8.79e-03      5.01e-02    2.71e-01    1.7e-06
 118000      6.16e-02    5.06e-01      3.37e-03    3.74e-02      4.20e-02    3.09e-01    1.5e-06
 120000      6.00e-02    4.09e-01      1.74e-03    1.09e-03      4.53e-02    3.17e-01    1.3e-06
 122000      6.85e-02    4.11e-01      3.55e-03    2.14e-02      4.95e-02    2.97e-01    1.2e-06
 124000      7.31e-02    4.29e-01      2.80e-03    2.90e-02      5.65e-02    2.93e-01    1.0e-06
 126000      7.24e-02    3.23e-01      2.28e-03    7.11e-03      5.81e-02    2.63e-01    9.1e-07
 128000      8.33e-02    3.16e-01      3.55e-03    1.28e-02      6.60e-02    2.53e-01    8.1e-07
 130000      5.70e-02    3.75e-01      1.32e-04    9.52e-03      4.89e-02    3.15e-01    7.2e-07
 132000      5.46e-02    3.68e-01      1.34e-03    2.30e-02      4.67e-02    2.78e-01    6.3e-07
 134000      6.92e-02    6.56e-01      2.93e-03    6.22e-02      5.75e-02    3.78e-01    5.6e-07
 136000      6.38e-02    3.94e-01      3.05e-03    1.83e-02      5.27e-02    3.27e-01    5.0e-07
 138000      6.44e-02    3.53e-01      1.71e-03    1.16e-02      5.70e-02    3.09e-01    4.4e-07
 140000      5.92e-02    3.15e-01      2.00e-03    8.58e-03      5.21e-02    2.82e-01    3.9e-07
 142000      6.82e-02    3.22e-01      7.72e-04    1.97e-02      6.27e-02    2.59e-01    3.4e-07
 144000      4.75e-02    3.17e-01      1.58e-03    1.79e-03      4.26e-02    2.95e-01    3.0e-07
 146000      4.73e-02    3.20e-01      1.35e-03    1.71e-02      4.32e-02    2.71e-01    2.7e-07
 148000      5.30e-02    2.88e-01      1.68e-03    9.29e-03      4.85e-02    2.63e-01    2.4e-07
