#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.244301e-02       1.624878e-03       9.710771e-03       7.230677e-02       1.765821e-02       4.058828e-02
          10       2.027945e-02       3.308764e-04       9.072196e-03       8.115693e-02       2.132031e-02       4.169358e-02
          20       1.860567e-02       1.761059e-03       9.662374e-03       9.125292e-02       1.740941e-02       4.320085e-02
          30       1.272384e-02       3.180029e-03       7.152498e-03       1.084686e-01       2.098728e-02       4.715903e-02
          40       1.117949e-02       2.294219e-03       5.963010e-03       7.008009e-02       1.471672e-02       4.502954e-02
          50       1.154924e-02       1.146963e-03       6.943723e-03       6.793362e-02       1.999227e-02       4.253749e-02
          60       1.095106e-02       3.240378e-03       6.113554e-03       8.763378e-02       2.386523e-02       4.634434e-02
          70       1.176693e-02       2.345142e-03       7.001892e-03       1.301563e-01       2.249051e-02       5.417141e-02
          80       1.111359e-02       1.428646e-03       7.520925e-03       1.973051e-01       1.862371e-02       5.836827e-02
          90       8.082627e-03       2.322321e-03       5.579713e-03       2.621715e-01       2.024556e-02       5.945221e-02
         100       1.158262e-02       1.589122e-03       5.384401e-03       1.244711e-01       2.919664e-02       5.637397e-02
         110       1.758749e-02       1.514525e-03       8.620630e-03       1.281168e-01       2.352348e-02       5.173861e-02
         120       1.942209e-02       1.110572e-03       1.043414e-02       8.893713e-02       2.204580e-02       4.803995e-02
         130       1.733853e-02       1.460735e-03       9.680522e-03       8.986365e-02       2.909058e-02       4.431631e-02
         140       1.491430e-02       2.158574e-03       7.853048e-03       9.109857e-02       1.871049e-02       4.280071e-02
         150       1.266941e-02       2.869803e-03       7.046100e-03       1.005609e-01       1.522940e-02       4.275357e-02
         160       1.441147e-02       3.458326e-03       7.545005e-03       1.025107e-01       1.948418e-02       4.536980e-02
         170       1.750453e-02       3.617766e-03       1.024543e-02       9.091537e-02       2.074585e-02       4.575076e-02
         180       1.899030e-02       2.666886e-03       1.047752e-02       1.194748e-01       2.012474e-02       4.549712e-02
         190       1.441626e-02       2.961843e-03       8.227223e-03       1.033043e-01       1.638653e-02       4.615822e-02
         200       1.287610e-02       2.791480e-03       7.561279e-03       1.391222e-01       2.386894e-02       5.397318e-02
         210       1.307162e-02       4.183526e-03       9.426274e-03       1.574451e-01       2.153642e-02       5.757410e-02
         220       1.779061e-02       3.166418e-03       1.088456e-02       1.359655e-01       2.870354e-02       6.113928e-02
         230       1.715268e-02       4.377709e-03       9.903011e-03       1.713719e-01       2.589811e-02       6.544246e-02
         240       1.981560e-02       2.393458e-03       1.058591e-02       2.143637e-01       2.586964e-02       6.633518e-02
         250       2.094383e-02       2.432368e-03       1.140403e-02       2.116110e-01       2.432823e-02       6.968745e-02
         260       2.064924e-02       1.355165e-03       1.119924e-02       1.863379e-01       2.952191e-02       7.008565e-02
         270       3.816650e-02       3.803561e-03       1.981687e-02       2.443148e-01       2.768196e-02       7.233400e-02
         280       4.175135e-02       4.222834e-03       2.382953e-02       2.273102e-01       2.759820e-02       7.696774e-02
         290       4.449954e-02       2.502758e-03       2.464401e-02       1.910772e-01       2.238440e-02       6.802959e-02
         300       3.869028e-02       3.520367e-03       2.197845e-02       1.866552e-01       3.566369e-02       6.391297e-02
