#step enthalpy vol
0 -6759.0196010058698448 1163.4502977002177886
1000 -6789.6171460662326353 1217.9311005236602341
2000 -6797.9015684407522713 1262.5294863338194773
3000 -6801.5237000923507367 1281.9906685982109593
4000 -6814.672455271466788 1250.9241560519458289
5000 -6780.9087380293140086 1213.5155196014256944
6000 -6798.3058790008308279 1212.787234301472381
7000 -6795.0246948091589729 1238.1882718270189798
8000 -6804.3538909243943635 1272.848908346406688
9000 -6793.2602702693729952 1236.4654864252047446
10000 -6804.3032818640394908 1276.1701456411278741
11000 -6789.5866214882044005 1265.055928119573764
12000 -6784.297785215831027 1342.8984481932718609
13000 -6799.8927394174661458 1292.8765190566837191
14000 -6807.4727812431437997 1266.4143116628333701
15000 -6789.4177265061707658 1199.821107558808535
16000 -6806.2339224319175628 1281.5291724111730218
17000 -6791.4282774608154796 1279.8901976071865647
18000 -6797.1539979392600799 1217.7384331344394468
19000 -6798.2273902775104943 1237.681484412389409
20000 -6784.6716576079052174 1206.7575635882121787
21000 -6788.0193402706072447 1210.3143439178870722
22000 -6788.9531230406691975 1279.1792080308769073
23000 -6789.5093622810791203 1231.3491161922515857
24000 -6800.6717073114823506 1258.106106099534145
25000 -6791.5131686891090794 1202.8751311064995662
26000 -6801.015372286157799 1260.0128432011317727
27000 -6813.1350249391489342 1307.5588739106824505
28000 -6789.342814436482513 1204.7840576118585432
29000 -6782.6019381689475267 1258.6587202981927476
30000 -6794.8535448122311209 1212.5713069481166713
31000 -6797.3278337908932372 1243.2435803911034782
32000 -6792.3480024127857178 1264.4177152784754981
33000 -6797.216767437683302 1218.0925806673039915
34000 -6804.8720594495944169 1247.0853636421074953
35000 -6786.6611649922861034 1266.1737235191719719
36000 -6798.7725112645093759 1280.0388939979789029
37000 -6785.8526311982586776 1191.8141402093779107
38000 -6778.1280822429989712 1227.5004840715259888
39000 -6789.1855357838167038 1258.4462978425074198
40000 -6777.6353780079944045 1195.3111734109231747
41000 -6800.2135264700218613 1237.801618687592736
42000 -6800.3579116414539385 1290.3850930744033576
43000 -6799.1392680730659777 1332.0944133541511292
44000 -6812.801200985181822 1266.6772649284787349
45000 -6795.6326762188300563 1268.7019121793189242
46000 -6797.5500600695522735 1248.2030394808771234
47000 -6793.9404201088182162 1253.991384388410097
