#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.12e+01    1.55e+01      1.37e+00    1.19e+00      1.94e+00    4.88e-01    2.0e-03
   2000      1.10e+01    9.80e+00      1.25e-01    1.71e-01      3.68e-01    3.29e-01    1.8e-03
   4000      7.45e+00    8.56e+00      7.04e-02    1.40e-01      2.66e-01    3.05e-01    1.6e-03
   6000      8.35e+00    7.86e+00      2.95e-02    1.56e-01      3.17e-01    2.97e-01    1.4e-03
   8000      5.07e+00    6.37e+00      8.99e-03    5.83e-02      2.04e-01    2.57e-01    1.2e-03
  10000      4.34e+00    1.93e+00      2.12e-02    3.53e-02      1.86e-01    8.23e-02    1.1e-03
  12000      5.79e+00    6.20e+00      1.26e-02    9.51e-02      2.64e-01    2.82e-01    9.6e-04
  14000      5.00e+00    5.59e+00      7.45e-02    7.28e-03      2.41e-01    2.71e-01    8.5e-04
  16000      2.97e+00    5.86e+00      6.94e-02    4.28e-02      1.51e-01    3.01e-01    7.5e-04
  18000      2.86e+00    3.66e+00      2.25e-02    4.27e-03      1.56e-01    2.00e-01    6.7e-04
  20000      2.55e+00    6.83e-01      3.10e-02    2.10e-02      1.48e-01    3.88e-02    5.9e-04
  22000      2.68e+00    4.03e-01      3.50e-02    4.94e-02      1.65e-01    1.33e-02    5.2e-04
  24000      2.64e+00    1.10e+00      3.09e-02    5.16e-03      1.73e-01    7.21e-02    4.6e-04
  26000      2.93e+00    3.92e+00      3.40e-02    4.76e-03      2.04e-01    2.73e-01    4.1e-04
  28000      1.73e+00    7.08e-01      1.93e-02    2.78e-02      1.28e-01    5.03e-02    3.6e-04
  30000      1.75e+00    3.52e+00      1.12e-02    3.61e-03      1.37e-01    2.77e-01    3.2e-04
  32000      1.36e+00    1.46e-01      3.71e-03    1.47e-03      1.14e-01    1.22e-02    2.8e-04
  34000      1.59e+00    2.13e-01      3.00e-02    9.64e-03      1.40e-01    1.78e-02    2.5e-04
  36000      1.14e+00    3.01e+00      1.34e-02    3.17e-02      1.07e-01    2.84e-01    2.2e-04
  38000      1.78e+00    3.78e-01      1.96e-02    1.81e-02      1.78e-01    3.54e-02    2.0e-04
  40000      1.24e+00    2.46e+00      1.79e-03    1.97e-02      1.33e-01    2.62e-01    1.7e-04
  42000      1.12e+00    1.73e-01      9.43e-03    1.14e-02      1.27e-01    1.69e-02    1.5e-04
  44000      1.05e+00    5.98e-01      2.34e-02    1.73e-02      1.24e-01    7.01e-02    1.4e-04
  46000      8.71e-01    2.16e+00      7.82e-03    8.28e-04      1.11e-01    2.76e-01    1.2e-04
  48000      1.06e+00    1.24e+00      1.59e-02    2.51e-03      1.43e-01    1.68e-01    1.1e-04
  50000      9.60e-01    1.02e-01      3.15e-02    1.02e-02      1.34e-01    9.26e-03    9.5e-05
  52000      8.04e-01    1.17e+00      8.36e-03    5.68e-02      1.22e-01    1.66e-01    8.4e-05
  54000      7.61e-01    7.71e-01      7.72e-05    6.24e-03      1.23e-01    1.25e-01    7.4e-05
  56000      9.28e-01    2.06e-01      2.55e-02    6.16e-03      1.56e-01    3.45e-02    6.6e-05
  58000      9.59e-01    1.59e-01      5.60e-02    2.88e-03      1.55e-01    2.87e-02    5.8e-05
  60000      7.75e-01    6.47e-01      1.18e-02    2.31e-02      1.49e-01    1.20e-01    5.1e-05
  62000      6.33e-01    6.21e-01      6.71e-03    1.17e-02      1.30e-01    1.26e-01    4.5e-05
  64000      8.72e-01    1.62e-01      1.39e-02    3.76e-03      1.88e-01    3.47e-02    4.0e-05
  66000      5.41e-01    3.37e-01      2.35e-02    1.73e-02      1.17e-01    7.11e-02    3.6e-05
  68000      6.47e-01    1.17e+00      1.29e-02    1.94e-02      1.56e-01    2.83e-01    3.2e-05
  70000      5.17e-01    7.09e-02      1.41e-03    7.26e-03      1.34e-01    1.07e-02    2.8e-05
  72000      5.45e-01    1.10e+00      5.07e-03    2.03e-03      1.49e-01    3.00e-01    2.5e-05
  74000      5.01e-01    3.50e-02      5.15e-04    5.80e-04      1.45e-01    1.00e-02    2.2e-05
  76000      4.22e-01    2.11e-01      1.48e-02    7.63e-03      1.24e-01    6.20e-02    1.9e-05
  78000      3.62e-01    8.41e-01      1.39e-03    2.18e-02      1.17e-01    2.66e-01    1.7e-05
  80000      3.81e-01    3.96e-01      5.07e-03    1.45e-05      1.29e-01    1.35e-01    1.5e-05
  82000      4.17e-01    3.94e-01      5.74e-04    2.75e-02      1.50e-01    1.18e-01    1.3e-05
  84000      3.99e-01    3.07e-01      2.06e-02    1.53e-03      1.38e-01    1.17e-01    1.2e-05
  86000      3.42e-01    1.25e-01      1.47e-02    6.75e-03      1.29e-01    4.53e-02    1.1e-05
  88000      2.85e-01    1.06e-01      4.35e-03    4.66e-03      1.19e-01    4.18e-02    9.3e-06
  90000      4.56e-01    5.87e-01      7.20e-03    3.77e-03      2.00e-01    2.59e-01    8.2e-06
  92000      3.07e-01    1.32e-01      6.32e-03    2.68e-03      1.41e-01    6.05e-02    7.3e-06
  94000      2.90e-01    1.43e-01      2.80e-03    2.14e-03      1.41e-01    6.89e-02    6.4e-06
  96000      2.67e-01    2.99e-02      2.93e-03    1.11e-03      1.35e-01    1.45e-02    5.7e-06
  98000      3.75e-01    4.87e-01      2.49e-02    7.19e-03      1.69e-01    2.58e-01    5.1e-06
 100000      3.05e-01    1.25e-01      4.90e-03    5.83e-04      1.68e-01    6.95e-02    4.5e-06
 102000      2.29e-01    4.87e-01      1.88e-04    2.23e-02      1.32e-01    2.63e-01    4.0e-06
 104000      2.48e-01    6.37e-02      1.62e-02    2.23e-03      1.28e-01    3.69e-02    3.5e-06
 106000      1.77e-01    1.08e-01      8.16e-04    7.16e-04      1.11e-01    6.78e-02    3.1e-06
 108000      2.18e-01    4.58e-01      4.86e-04    1.29e-02      1.41e-01    2.90e-01    2.7e-06
 110000      2.19e-01    2.32e-02      5.93e-03    5.23e-04      1.44e-01    1.53e-02    2.4e-06
 112000      2.57e-01    4.21e-01      1.55e-02    1.22e-02      1.56e-01    2.84e-01    2.2e-06
 114000      1.57e-01    5.12e-02      3.70e-03    1.32e-03      1.10e-01    3.59e-02    1.9e-06
 116000      2.33e-01    2.13e-01      9.90e-03    2.22e-05      1.61e-01    1.57e-01    1.7e-06
 118000      2.27e-01    1.80e-02      9.57e-03    2.78e-05      1.62e-01    1.36e-02    1.5e-06
 120000      1.61e-01    3.57e-01      4.00e-03    1.58e-02      1.23e-01    2.60e-01    1.3e-06
 122000      1.88e-01    1.42e-01      5.28e-03    3.16e-03      1.46e-01    1.11e-01    1.2e-06
 124000      2.02e-01    1.55e-01      1.17e-02    4.52e-03      1.45e-01    1.22e-01    1.0e-06
 126000      2.26e-01    1.91e-02      1.29e-02    6.87e-04      1.67e-01    1.52e-02    9.1e-07
 128000      1.39e-01    6.93e-02      1.31e-03    4.67e-04      1.17e-01    5.84e-02    8.1e-07
 130000      1.60e-01    8.19e-02      7.98e-03    1.44e-03      1.26e-01    6.96e-02    7.2e-07
 132000      1.81e-01    4.33e-02      4.04e-04    4.58e-04      1.58e-01    3.76e-02    6.3e-07
 134000      2.90e-01    2.92e-01      7.82e-03    1.41e-03      2.50e-01    2.58e-01    5.6e-07
 136000      1.43e-01    1.72e-02      6.84e-03    5.96e-06      1.18e-01    1.54e-02    5.0e-07
 138000      1.57e-01    4.64e-02      9.32e-03    9.49e-05      1.25e-01    4.20e-02    4.4e-07
 140000      2.47e-01    3.11e-01      1.65e-02    1.58e-02      1.91e-01    2.59e-01    3.9e-07
 142000      1.58e-01    4.91e-02      2.25e-03    9.31e-04      1.45e-01    4.49e-02    3.4e-07
 144000      1.58e-01    1.74e-01      8.96e-04    5.67e-03      1.47e-01    1.57e-01    3.0e-07
 146000      1.45e-01    7.79e-02      2.53e-03    1.42e-03      1.35e-01    7.24e-02    2.7e-07
 148000      1.39e-01    1.44e-01      2.30e-03    2.16e-04      1.30e-01    1.36e-01    2.4e-07
 150000      1.75e-01    2.85e-01      3.53e-04    7.27e-03      1.66e-01    2.65e-01    2.1e-07
 152000      1.44e-01    3.84e-02      5.07e-03    7.97e-04      1.32e-01    3.62e-02    1.9e-07
 154000      1.38e-01    3.08e-01      7.92e-03    1.56e-02      1.18e-01    2.70e-01    1.7e-07
 156000      1.82e-01    1.32e-01      4.72e-03    2.97e-04      1.71e-01    1.27e-01    1.5e-07
 158000      1.24e-01    1.30e-01      3.72e-05    3.48e-03      1.20e-01    1.23e-01    1.3e-07
 160000      1.62e-01    1.58e-02      6.08e-03    7.71e-05      1.50e-01    1.54e-02    1.1e-07
 162000      1.30e-01    2.69e-01      1.69e-04    9.67e-03      1.27e-01    2.51e-01    1.0e-07
 164000      1.74e-01    3.12e-01      6.49e-03    1.81e-02      1.63e-01    2.70e-01    9.0e-08
 166000      1.19e-01    2.76e-01      2.67e-03    6.26e-05      1.15e-01    2.70e-01    8.0e-08
 168000      1.41e-01    3.08e-01      3.61e-03    1.16e-02      1.36e-01    2.88e-01    7.0e-08
 170000      1.05e-01    1.30e-02      3.14e-03    5.69e-06      1.01e-01    1.28e-02    6.2e-08
 172000      1.29e-01    1.55e-02      1.89e-03    5.10e-04      1.26e-01    1.48e-02    5.5e-08
 174000      1.38e-01    1.11e-01      4.03e-04    6.64e-04      1.36e-01    1.10e-01    4.9e-08
 176000      1.54e-01    1.26e-02      1.81e-03    3.45e-04      1.51e-01    1.22e-02    4.3e-08
 178000      1.83e-01    1.18e-01      7.97e-03    8.68e-04      1.70e-01    1.17e-01    3.8e-08
 180000      1.57e-01    1.21e-01      7.46e-03    1.76e-03      1.44e-01    1.19e-01    3.4e-08
 182000      1.71e-01    7.20e-02      5.00e-03    3.22e-03      1.65e-01    6.67e-02    3.0e-08
 184000      1.33e-01    3.27e-01      4.19e-04    2.69e-02      1.32e-01    2.44e-01    2.7e-08
 186000      1.49e-01    2.59e-01      1.58e-03    1.02e-02      1.48e-01    2.44e-01    2.4e-08
 188000      1.36e-01    2.37e-01      1.27e-03    7.59e-03      1.35e-01    2.28e-01    2.1e-08
 190000      1.52e-01    6.24e-02      1.47e-03    9.41e-04      1.51e-01    6.17e-02    1.8e-08
 192000      1.90e-01    3.57e-02      5.96e-03    1.20e-03      1.83e-01    3.43e-02    1.6e-08
 194000      1.21e-01    3.11e-01      1.79e-03    1.90e-02      1.19e-01    2.70e-01    1.4e-08
 196000      1.22e-01    3.05e-01      2.02e-03    1.35e-02      1.21e-01    2.84e-01    1.3e-08
 198000      1.36e-01    1.70e-01      3.35e-03    4.89e-03      1.33e-01    1.65e-01    1.1e-08
 200000      1.43e-01    1.58e-02      8.48e-03    4.13e-05      1.26e-01    1.58e-02    1.0e-08
