#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.28e+00    8.22e+00      5.90e-03    6.33e-03      1.99e-01    2.60e-01    2.0e-03
   2000      7.40e+00    1.58e+01      7.90e-02    5.75e-02      2.64e-01    5.64e-01    1.6e-03
   4000      5.15e+00    3.15e-01      4.10e-02    3.30e-02      2.08e-01    1.08e-02    1.2e-03
   6000      3.76e+00    1.79e+00      4.02e-02    2.82e-02      1.71e-01    8.11e-02    9.6e-04
   8000      4.05e+00    6.38e+00      1.06e-01    3.81e-02      2.06e-01    3.28e-01    7.5e-04
  10000      2.69e+00    4.80e+00      3.00e-02    2.94e-02      1.56e-01    2.79e-01    5.9e-04
  12000      2.63e+00    4.19e+00      7.51e-02    4.64e-02      1.69e-01    2.74e-01    4.6e-04
  14000      2.13e+00    3.77e+00      8.12e-03    5.87e-02      1.58e-01    2.77e-01    3.6e-04
  16000      2.02e+00    3.68e+00      6.02e-02    2.81e-02      1.65e-01    3.08e-01    2.8e-04
  18000      1.66e+00    2.85e+00      2.97e-02    3.87e-02      1.55e-01    2.68e-01    2.2e-04
  20000      2.08e+00    2.59e+00      5.82e-02    5.47e-02      2.16e-01    2.73e-01    1.7e-04
  22000      1.52e+00    2.65e+00      3.97e-02    5.92e-03      1.79e-01    3.19e-01    1.4e-04
  24000      1.35e+00    2.05e+00      2.06e-02    1.84e-02      1.82e-01    2.78e-01    1.1e-04
  26000      9.37e-01    1.94e+00      1.91e-02    2.79e-02      1.41e-01    2.95e-01    8.4e-05
  28000      8.17e-01    1.73e+00      9.99e-03    2.48e-02      1.40e-01    2.96e-01    6.6e-05
  30000      1.15e+00    2.20e-01      1.00e-01    1.24e-02      1.62e-01    3.82e-02    5.1e-05
  32000      7.36e-01    2.20e-01      3.49e-03    2.27e-03      1.60e-01    4.77e-02    4.0e-05
  34000      5.49e-01    1.09e+00      1.35e-02    9.24e-03      1.32e-01    2.65e-01    3.2e-05
  36000      7.62e-01    4.31e-02      9.48e-03    8.91e-04      2.08e-01    1.17e-02    2.5e-05
  38000      5.45e-01    9.48e-01      9.22e-03    3.56e-02      1.65e-01    2.77e-01    1.9e-05
  40000      4.39e-01    9.61e-01      1.35e-02    2.93e-02      1.45e-01    3.18e-01    1.5e-05
  42000      4.29e-01    6.65e-01      7.59e-03    7.67e-03      1.61e-01    2.51e-01    1.2e-05
  44000      3.85e-01    9.62e-02      2.71e-02    2.75e-03      1.34e-01    3.94e-02    9.3e-06
  46000      3.84e-01    5.25e-01      1.23e-02    4.71e-02      1.72e-01    1.70e-01    7.3e-06
  48000      2.61e-01    2.65e-01      7.42e-03    1.15e-02      1.29e-01    1.27e-01    5.7e-06
  50000      3.84e-01    6.01e-01      1.91e-02    1.72e-02      1.96e-01    3.25e-01    4.5e-06
  52000      2.79e-01    1.21e-01      3.74e-03    4.34e-03      1.67e-01    7.02e-02    3.5e-06
  54000      4.79e-01    6.57e-01      3.01e-02    5.59e-02      2.69e-01    3.13e-01    2.7e-06
  56000      2.44e-01    4.00e-01      6.16e-03    9.89e-03      1.66e-01    2.72e-01    2.2e-06
  58000      2.79e-01    4.89e-01      1.16e-02    3.67e-02      1.94e-01    2.88e-01    1.7e-06
  60000      1.71e-01    3.57e-01      5.89e-03    3.86e-03      1.28e-01    2.76e-01    1.3e-06
  62000      2.22e-01    3.90e-01      1.70e-02    2.16e-02      1.43e-01    2.84e-01    1.0e-06
  64000      3.44e-01    2.02e-02      3.23e-02    1.70e-03      1.92e-01    1.26e-02    8.1e-07
  66000      2.48e-01    3.44e-01      1.84e-02    7.70e-03      1.74e-01    2.95e-01    6.3e-07
  68000      2.06e-01    2.87e-01      6.57e-03    3.37e-03      1.78e-01    2.56e-01    5.0e-07
  70000      1.77e-01    3.36e-01      8.41e-03    1.78e-02      1.50e-01    2.79e-01    3.9e-07
  72000      1.97e-01    3.68e-01      2.06e-03    1.28e-02      1.83e-01    3.29e-01    3.0e-07
  74000      1.62e-01    1.82e-01      2.74e-03    8.13e-03      1.52e-01    1.60e-01    2.4e-07
  76000      2.13e-01    1.84e-02      9.88e-03    8.75e-05      1.89e-01    1.76e-02    1.9e-07
  78000      2.11e-01    2.79e-01      1.34e-02    1.48e-02      1.75e-01    2.44e-01    1.5e-07
  80000      2.10e-01    2.90e-01      3.49e-03    7.96e-03      2.02e-01    2.75e-01    1.1e-07
  82000      1.74e-01    8.42e-02      6.88e-03    4.28e-03      1.62e-01    7.52e-02    9.0e-08
  84000      1.81e-01    3.53e-01      1.21e-02    1.82e-02      1.50e-01    3.16e-01    7.0e-08
  86000      1.58e-01    2.92e-01      6.05e-03    1.70e-03      1.48e-01    2.88e-01    5.5e-08
  88000      2.11e-01    3.06e-01      2.08e-02    9.18e-03      1.28e-01    2.93e-01    4.3e-08
  90000      1.79e-01    2.12e-01      1.18e-02    1.46e-02      1.51e-01    1.75e-01    3.4e-08
  92000      1.66e-01    4.80e-02      4.30e-03    1.98e-03      1.62e-01    4.50e-02    2.7e-08
  94000      1.93e-01    1.33e-01      4.25e-03    5.04e-03      1.89e-01    1.26e-01    2.1e-08
  96000      1.46e-01    2.79e-01      9.43e-04    2.38e-03      1.45e-01    2.78e-01    1.6e-08
  98000      1.65e-01    3.17e-01      9.39e-03    8.72e-03      1.47e-01    3.09e-01    1.3e-08
 100000      1.39e-01    2.95e-01      9.44e-03    1.57e-02      1.16e-01    2.67e-01    1.0e-08
