#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       3.611597e-02       3.152070e-05       1.970897e-02       1.560982e-02       6.961926e-04       5.477451e-03
           0       3.239225e-02       1.030269e-05       1.856331e-02       8.696124e-03       5.852285e-04       6.308059e-03
        1000       2.234419e-02       7.103206e-04       1.239750e-02       7.951416e-02       1.104103e-02       4.101009e-02
        2000       1.653256e-02       1.869619e-03       9.230782e-03       9.941075e-02       1.265717e-02       3.871810e-02
        3000       1.958447e-02       1.115474e-03       1.107966e-02       7.016772e-02       1.533317e-02       3.993314e-02
        4000       1.928538e-02       1.393926e-03       1.046424e-02       8.520762e-02       1.674684e-02       3.909490e-02
        5000       1.903863e-02       1.440228e-03       1.055601e-02       9.075417e-02       1.576886e-02       3.908244e-02
        6000       1.905634e-02       1.093080e-03       1.071334e-02       7.617049e-02       1.663589e-02       3.827201e-02
        7000       1.946448e-02       1.476975e-03       1.084208e-02       1.032030e-01       1.555751e-02       3.895597e-02
        8000       2.341385e-02       5.201425e-04       1.274359e-02       1.076285e-01       1.722181e-02       3.933544e-02
        9000       1.767186e-02       1.877075e-03       1.010209e-02       8.901157e-02       1.659033e-02       3.819938e-02
       10000       2.363255e-02       7.951289e-04       1.368641e-02       7.953141e-02       1.382108e-02       3.774979e-02
       11000       1.786896e-02       6.133782e-04       1.034215e-02       8.903745e-02       1.261318e-02       3.899017e-02
       12000       1.643650e-02       5.437357e-04       9.313165e-03       1.129686e-01       9.105533e-03       3.938852e-02
       13000       2.119883e-02       7.878149e-04       1.140287e-02       7.664644e-02       1.304229e-02       4.040596e-02
       14000       2.341747e-02       3.576090e-04       1.307226e-02       8.294728e-02       1.678961e-02       3.920602e-02
       15000       1.689104e-02       5.616141e-04       9.487639e-03       6.954222e-02       1.539435e-02       3.803365e-02
       16000       2.140448e-02       1.354407e-03       1.193304e-02       7.543372e-02       1.559722e-02       3.760917e-02
       17000       2.200870e-02       1.379400e-03       1.272628e-02       9.834194e-02       1.824989e-02       4.231897e-02
       18000       2.310915e-02       6.385353e-04       1.278172e-02       9.558656e-02       1.622622e-02       3.867174e-02
       19000       2.160178e-02       1.661132e-03       1.225996e-02       6.807087e-02       1.499023e-02       3.901710e-02
       20000       2.427279e-02       1.305425e-03       1.305858e-02       8.946240e-02       1.552549e-02       3.969132e-02
       21000       2.272456e-02       3.794742e-04       1.271993e-02       8.668178e-02       1.192615e-02       4.039051e-02
       22000       2.172135e-02       1.620453e-03       1.199234e-02       9.869731e-02       1.164943e-02       4.005420e-02
       23000       2.123328e-02       9.213359e-04       1.193343e-02       1.045744e-01       1.394006e-02       4.088917e-02
       24000       2.170085e-02       6.598605e-04       1.179904e-02       8.288963e-02       9.572692e-03       3.787060e-02
       25000       2.159941e-02       1.654984e-03       1.218077e-02       9.037727e-02       1.196959e-02       4.041515e-02
       25000       2.159941e-02       1.654984e-03       1.218077e-02       9.037727e-02       1.196959e-02       4.041515e-02
       26000       1.470921e-02       1.163650e-03       8.395439e-03       7.486770e-02       1.234392e-02       3.798340e-02
       27000       1.085685e-02       1.402641e-03       6.321268e-03       1.031138e-01       1.445149e-02       3.724951e-02
       28000       1.352025e-02       6.917643e-04       7.774898e-03       9.312292e-02       1.176634e-02       3.983352e-02
       29000       1.467506e-02       6.732368e-04       8.260868e-03       8.617969e-02       9.739609e-03       4.004616e-02
       30000       1.851627e-02       5.005041e-04       1.053570e-02       9.729777e-02       1.502964e-02       3.951004e-02
       31000       1.617865e-02       1.080685e-03       8.154189e-03       8.439500e-02       1.398847e-02       3.835695e-02
       32000       1.451875e-02       6.510825e-04       7.927604e-03       7.133880e-02       1.450973e-02       3.537866e-02
       33000       1.758605e-02       3.419510e-04       9.961905e-03       7.779353e-02       1.093484e-02       3.813663e-02
       34000       1.846122e-02       1.066406e-03       1.014213e-02       7.511452e-02       1.580237e-02       3.745391e-02
       35000       1.732001e-02       1.089342e-03       9.028394e-03       7.963989e-02       1.282537e-02       3.884700e-02
